SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
403031070,Panorama,Moderate,Low,shap_irsd_score,-0.0319881793640754,IRSD (Disadvantage),0.0319881793640754,3,4
403041071,Aberfoyle Park,Low,Low,shap_irsd_score,-0.056317939030434,IRSD (Disadvantage),0.056317939030434,4,4
403041072,Aldinga,Moderate,Low,shap_irsd_score,-0.012597027751874,IRSD (Disadvantage),0.012597027751874,3,4
403041073,Christie Downs,High,Low,shap_irsd_score,0.0726416972436867,IRSD (Disadvantage),0.0726416972436867,2,4
403041074,Christies Beach,Moderate,Low,shap_irsd_score,0.0098760306118836,IRSD (Disadvantage),0.0098760306118836,3,4
403041075,Clarendon,Low,Low,shap_irsd_score,-0.0622890771491429,IRSD (Disadvantage),0.0622890771491429,4,4
403041076,Coromandel Valley,Low,Low,shap_irsd_score,-0.0606999256401843,IRSD (Disadvantage),0.0606999256401843,4,4
403041077,Flagstaff Hill,Low,Low,shap_irsd_score,-0.0591179244482458,IRSD (Disadvantage),0.0591179244482458,4,4
403041078,Hackham - Onkaparinga Hills,Moderate,Low,shap_irsd_score,-0.0253318443705416,IRSD (Disadvantage),0.0253318443705416,3,4
403041079,Hackham West - Huntfield Heights,High,Low,shap_irsd_score,0.027028770981869,IRSD (Disadvantage),0.027028770981869,2,4
403041080,Happy Valley,Moderate,Low,shap_irsd_score,-0.034479367746322,IRSD (Disadvantage),0.034479367746322,3,4
403041081,Happy Valley Reservoir,Moderate,Low,shap_irsd_score,0.010393305863143,IRSD (Disadvantage),0.010393305863143,3,4
403041082,Lonsdale,Critical,Moderate,shap_irsd_score,0.0297907903863555,IRSD (Disadvantage),0.0297907903863555,1,3
403041083,McLaren Vale,Moderate,Low,shap_irsd_score,-0.047792548778386,IRSD (Disadvantage),0.047792548778386,3,4
403041084,Morphett Vale - East,Moderate,Low,shap_irsd_score,0.0081459903480422,IRSD (Disadvantage),0.0081459903480422,3,4
