"SA2_CODE21","SA2_NAME21","SA3_NAME21","SA4_NAME21","population","AREASQKM21","provider_type","provider_note","is_provider_confirmed","is_metro","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","median_hhd_inc_weekly_2021","median_hhd_inc_annual_2021","median_hhd_inc_annual_adj","bill_usage_only","bill_usage_supply","bill_owner_metro","bill_owner_country","bill_owner_blended","water_cost_burden_ratio","burden_ratio_renter","burden_ratio_owner_metro","burden_ratio_owner_country","burden_tier_abs","burden_tier_rel","estimated_hardship_need","hardship_priority_score","top_critical_driver","top_critical_driver_shap","water_cost_burden_pct","burden_ratio_owner_metro_pct","burden_ratio_owner_country_pct","burden_ratio_renter_pct","hardship_priority_pct","tier_order_rel","tier_order_abs","hardship_priority_flag"
"402011026","Gawler - South","Gawler - Two Wells","Adelaide - North","21662.0","76.7139","SA Water","","0","1","962.0","3.0","934.0","3.0","971.0","4.0","930.0","3.0","1336","69472","79375.0","472.63","787.03","1160.23","1343.83","1160.23","0.014617","0.009915","0.014617","0.01693","Low","Moderate","30.1","1.5016","Population","-0.0861313688492416","1.46","1.46","1.69","0.99","150.16","3","4","0"
"402011027","Lewiston - Two Wells","Gawler - Two Wells","Adelaide - North","6505.0","84.6217","SA Water","","0","1","1009.0","5.0","958.0","4.0","1068.0","9.0","900.0","2.0","1908","99216","113358.0","472.63","787.03","1160.23","1343.83","1160.23","0.010235","0.006943","0.010235","0.011855","Low","Low","2.3","0.4404","IER (Econ Resources)","-0.1258615571990238","1.02","1.02","1.19","0.69","44.04","4","4","0"
"402021028","Craigmore - Blakeview","Playford","Adelaide - North","19920.0","11.8809","SA Water","","0","1","953.0","3.0","919.0","2.0","992.0","5.0","897.0","2.0","1600","83200","95060.0","472.63","787.03","1160.23","1343.83","1160.23","0.012205","0.008279","0.012205","0.014137","Low","Moderate","27.6","1.1133","Population","-0.123680306291927","1.22","1.22","1.41","0.83","111.33","3","4","0"
"402021029","Davoren Park","Playford","Adelaide - North","18313.0","9.4649","SA Water","","0","1","792.0","1.0","799.0","1.0","862.0","1.0","811.0","1.0","1161","60372","68978.0","472.63","787.03","1160.23","1343.83","1160.23","0.01682","0.01141","0.01682","0.019482","Low","Moderate","25.4","1.8562","Population","-0.2027148982674223","1.68","1.68","1.95","1.14","185.62","3","4","0"
"402021030","Elizabeth","Playford","Adelaide - North","10829.0","9.2607","SA Water","","0","1","646.0","1.0","717.0","1.0","758.0","1.0","773.0","1.0","827","43004","49134.0","472.63","787.03","1160.23","1343.83","1160.23","0.023614","0.016018","0.023614","0.02735","Moderate","Critical","60.1","5.4786","IRSD (Disadvantage)","0.0988992401966864","2.36","2.36","2.74","1.6","547.86","1","3","1"
"402021031","Elizabeth East","Playford","Adelaide - North","14047.0","8.1823","SA Water","","0","1","834.0","1.0","838.0","1.0","894.0","1.0","845.0","1.0","1188","61776","70582.0","472.63","787.03","1160.23","1343.83","1160.23","0.016438","0.011151","0.016438","0.019039","Low","Moderate","19.5","1.7948","Area (km²)","-0.1389015795834575","1.64","1.64","1.9","1.12","179.48","3","4","0"
"402021032","Munno Para West - Angle Vale","Playford","Adelaide - North","16215.0","44.3107","SA Water","","0","1","963.0","3.0","930.0","3.0","995.0","5.0","907.0","2.0","1653","85956","98208.0","472.63","787.03","1160.23","1343.83","1160.23","0.011814","0.008014","0.011814","0.013684","Low","Moderate","22.5","1.0504","Population","-0.072267592975808","1.18","1.18","1.37","0.8","105.04","3","4","0"
"402021033","One Tree Hill","Playford","Adelaide - North","2473.0","130.1511","SA Water","","0","1","1082.0","9.0","1042.0","7.0","1113.0","10.0","1001.0","6.0","2277","118404","135282.0","472.63","787.03","1160.23","1343.83","1160.23","0.008576","0.005818","0.008576","0.009934","Low","Low","0.9","0.3362","IRSAD (Adv/Disadv)","-0.0736765442987231","0.86","0.86","0.99","0.58","33.62","4","4","0"
"402021034","Smithfield - Elizabeth North","Playford","Adelaide - North","12446.0","7.987","SA Water","","0","1","732.0","1.0","756.0","1.0","804.0","1.0","780.0","1.0","939","48828","55788.0","472.63","787.03","1160.23","1343.83","1160.23","0.020797","0.014108","0.020797","0.024088","Moderate","High","34.5","3.5686","Area (km²)","-0.123457122725929","2.08","2.08","2.41","1.41","356.86","2","3","1"
"402021035","Virginia - Waterloo Corner","Playford","Adelaide - North","5693.0","135.5661","SA Water","","0","1","958.0","3.0","939.0","3.0","1015.0","6.0","917.0","2.0","1387","72124","82405.0","472.63","787.03","1160.23","1343.83","1160.23","0.01408","0.009551","0.01408","0.016308","Low","Moderate","7.9","1.4152","IER (Econ Resources)","-0.1378135788349372","1.41","1.41","1.63","0.96","141.52","3","4","0"
