SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,price_increase_pct,scenario_label,baseline_tier_abs,baseline_tier_rel,baseline_tier_order,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_burden_pct,sim_tier_abs,sim_tier_order,tier_shift,tier_shifted
404011092,Henley Beach,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,106110.0,1160.23,0.010934,1.0934,Low,4,0.0,0
404011093,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,96901.0,1160.23,0.011973,1.1973,Low,4,0.0,0
404011094,Royal Park - Hendon - Albert Park,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,84781.0,1160.23,0.013685,1.3685,Low,4,0.0,0
404011095,Seaton - Grange,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,84662.0,1160.23,0.013704,1.3704,Low,4,0.0,0
404011096,West Lakes,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,89475.0,1160.23,0.012967,1.2967,Low,4,0.0,0
404011097,Woodville - Cheltenham,Charles Sturt,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,88584.0,1160.23,0.013098,1.3098,Low,4,0.0,0
404021098,Dry Creek - South,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Unknown,Unknown,5,Unknown,Unknown,,1160.23,,,Unknown,5,,0
404021099,Largs Bay - Semaphore,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,94109.0,1160.23,0.012329,1.2329,Low,4,0.0,0
404021100,North Haven,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,84009.0,1160.23,0.013811,1.3811,Low,4,0.0,0
404021101,Port Adelaide,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,74087.0,1160.23,0.01566,1.566,Low,4,0.0,0
