price_increase_pct,scenario_label,SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_tier_abs,tier_shift,sim_burden_pct,tier_shifted,sim_tier_order
0.0,Baseline,404031106,Lockleys,West Torrens,Adelaide - West,SA Water,True,Low,Moderate,97139.0,1160.23,0.011944,Low,0.0,1.1944,0,4
0.0,Baseline,404031107,Plympton,West Torrens,Adelaide - West,SA Water,True,Low,Moderate,92148.0,1160.23,0.012591,Low,0.0,1.2591,0,4
0.0,Baseline,404031108,Richmond (SA),West Torrens,Adelaide - West,SA Water,True,Low,Moderate,92386.0,1160.23,0.012559,Low,0.0,1.2559,0,4
0.0,Baseline,404031109,West Beach,West Torrens,Adelaide - West,SA Water,True,Low,Low,103734.0,1160.23,0.011185,Low,0.0,1.1185,0,4
0.0,Baseline,405011110,Barossa - Angaston,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,85613.0,1343.83,0.015697,Low,0.0,1.5697,0,4
0.0,Baseline,405011111,Light,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,91732.0,1343.83,0.01465,Low,0.0,1.465,0,4
0.0,Baseline,405011112,Lyndoch,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,108546.0,1343.83,0.01238,Low,0.0,1.238,0,4
0.0,Baseline,405011113,Mallala,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,81335.0,1343.83,0.016522,Low,0.0,1.6522,0,4
0.0,Baseline,405011114,Nuriootpa,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,78781.0,1343.83,0.017058,Low,0.0,1.7058,0,4
0.0,Baseline,405011115,Tanunda,Barossa,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,85910.0,1343.83,0.015642,Low,0.0,1.5642,0,4
0.0,Baseline,405021116,Clare,Lower North,Barossa - Yorke - Mid North,SA Water,False,Low,Moderate,81276.0,1343.83,0.016534,Low,0.0,1.6534,0,4
0.0,Baseline,405021117,Gilbert Valley,Lower North,Barossa - Yorke - Mid North,SA Water,False,Low,High,74681.0,1343.83,0.017994,Low,0.0,1.7994,0,4
0.0,Baseline,405021118,Goyder,Lower North,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,54481.0,1343.83,0.024666,Moderate,0.0,2.4666,0,3
0.0,Baseline,405021119,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,SA Water,False,Moderate,High,64878.0,1343.83,0.020713,Moderate,0.0,2.0713,0,3
0.0,Baseline,405031120,Jamestown,Mid North,Barossa - Yorke - Mid North,SA Water,False,Low,High,68027.0,1343.83,0.019754,Low,0.0,1.9754,0,4
0.0,Baseline,405031121,Peterborough - Mount Remarkable,Mid North,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,55313.0,1343.83,0.024295,Moderate,0.0,2.4295,0,3
0.0,Baseline,405031122,Port Pirie,Mid North,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,62026.0,1343.83,0.021666,Moderate,0.0,2.1666,0,3
0.0,Baseline,405031123,Port Pirie Surrounds,Mid North,Barossa - Yorke - Mid North,SA Water,False,Low,High,68027.0,1343.83,0.019754,Low,0.0,1.9754,0,4
0.0,Baseline,405041124,Kadina,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,False,Low,High,68621.0,1343.83,0.019583,Low,0.0,1.9583,0,4
0.0,Baseline,405041125,Moonta,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,57333.0,1343.83,0.023439,Moderate,0.0,2.3439,0,3
