SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
402021033,One Tree Hill,Playford,Adelaide - North,2473.0,130.1511,SA Water,,False,True,1082.0,9.0,1042.0,7.0,1113.0,10.0,1001.0,6.0,2277,118404,135282.0,472.63,787.03,1160.23,1343.83,1160.23,0.008576,0.005818,0.008576,0.009934,Low,Low,0.9,0.3362,2019.8023,0.0057,Low
402021034,Smithfield - Elizabeth North,Playford,Adelaide - North,12446.0,7.987,SA Water,,False,True,732.0,1.0,756.0,1.0,804.0,1.0,780.0,1.0,939,48828,55788.0,472.63,787.03,1160.23,1343.83,1160.23,0.020797,0.014108,0.020797,0.024088,Moderate,High,34.5,3.5686,2796.0697,0.9261,Critical
402021035,Virginia - Waterloo Corner,Playford,Adelaide - North,5693.0,135.5661,SA Water,,False,True,958.0,3.0,939.0,3.0,1015.0,6.0,917.0,2.0,1387,72124,82405.0,472.63,787.03,1160.23,1343.83,1160.23,0.01408,0.009551,0.01408,0.016308,Low,Moderate,7.9,1.4152,2214.8177,0.2699,Moderate
402031036,Enfield - Blair Athol,Port Adelaide - East,Adelaide - North,25578.0,15.1765,SA Water,,False,True,904.0,2.0,924.0,2.0,902.0,1.0,966.0,5.0,1428,74256,84841.0,472.63,787.03,1160.23,1343.83,1160.23,0.013675,0.009277,0.013675,0.015839,Low,Moderate,35.5,1.35,2492.2838,0.8409,Critical
402031038,Windsor Gardens,Port Adelaide - East,Adelaide - North,22587.0,8.4298,SA Water,,False,True,998.0,5.0,992.0,5.0,953.0,3.0,1025.0,7.0,1595,82940,94762.0,472.63,787.03,1160.23,1343.83,1160.23,0.012244,0.008305,0.012244,0.014181,Low,Moderate,31.3,1.1196,2358.9087,0.6818,High
402031175,Northgate - Northfield,Port Adelaide - East,Adelaide - North,18188.0,6.5508,SA Water,,False,True,1010.0,5.0,1007.0,6.0,983.0,4.0,1035.0,7.0,1759,91468,104506.0,472.63,787.03,1160.23,1343.83,1160.23,0.011102,0.007531,0.011102,0.012859,Low,Low,6.3,0.4948,2286.9176,0.4716,Moderate
402031176,Valley View - Gilles Plains,Port Adelaide - East,Adelaide - North,10504.0,4.683,SA Water,,False,True,978.0,4.0,957.0,4.0,967.0,4.0,964.0,5.0,1469,76388,87277.0,472.63,787.03,1160.23,1343.83,1160.23,0.013294,0.009018,0.013294,0.015397,Low,Moderate,14.6,1.2886,2324.757,0.5682,High
402041039,Dry Creek - North,Salisbury,Adelaide - North,,38.5669,SA Water,,False,True,,,,,,,,,0,0,,472.63,787.03,1160.23,1343.83,1160.23,,,,,Unknown,Unknown,,,,0.9744,Critical
402041040,Ingle Farm,Salisbury,Adelaide - North,15681.0,7.4263,SA Water,,False,True,954.0,3.0,929.0,3.0,959.0,3.0,923.0,3.0,1344,69888,79850.0,472.63,787.03,1160.23,1343.83,1160.23,0.01453,0.009856,0.01453,0.016829,Low,Moderate,21.8,1.4876,2344.1502,0.6449,High
402041041,Para Hills,Salisbury,Adelaide - North,15094.0,10.173,SA Water,,False,True,959.0,3.0,931.0,3.0,983.0,4.0,919.0,3.0,1444,75088,85791.0,472.63,787.03,1160.23,1343.83,1160.23,0.013524,0.009174,0.013524,0.015664,Low,Moderate,20.9,1.3257,2286.9176,0.4716,Moderate
