SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,top_critical_driver,top_critical_driver_shap,shap_irsd_score,shap_irsad_score,shap_ier_score,shap_ieo_score,shap_population,shap_AREASQKM21,irsd_score,irsad_score,ier_score,ieo_score,population,AREASQKM21
403031068,Colonel Light Gardens,Low,Low,IRSAD (Adv/Disadv),-0.058350799238754844,-0.048608334620497524,-0.058350799238754844,-0.0501117992355837,-0.04400888414827571,-0.02163466311592687,-0.02658326212721378,1064.0,1063.0,1033.0,1081.0,15842.0,6.761
403031069,Mitcham (SA),Low,Low,IRSAD (Adv/Disadv),-0.0620440394397577,-0.050967382495586716,-0.0620440394397577,-0.05480177772511645,-0.04568528255971517,-0.03569561419179545,-0.0001036460742807987,1087.0,1100.0,1059.0,1125.0,16506.0,11.4472
403031070,Panorama,Moderate,Low,IRSAD (Adv/Disadv),-0.07407949373745289,-0.03198817936407545,-0.07407949373745289,-0.043613992875683225,-0.06505201478271588,0.0014569298968776024,-0.029354324956535872,1033.0,1023.0,998.0,1048.0,8475.0,5.7425
403041071,Aberfoyle Park,Low,Low,IER (Econ Resources),-0.06487860808128296,-0.05631793903043404,-0.06477876896346324,-0.06487860808128296,-0.0523962018521344,-0.01245805592553699,0.0015318313665994819,1049.0,1012.0,1046.0,1007.0,11911.0,13.8426
403041072,Aldinga,Moderate,Low,IER (Econ Resources),-0.058273777377085785,-0.012597027751874025,-0.04542690223726108,-0.058273777377085785,-0.035168337681711605,-0.041433888164297036,-0.0030644759406893763,970.0,931.0,988.0,931.0,15923.0,35.3303
403041073,Christie Downs,High,Low,Area (km²),-0.104892962225318,0.0726416972436867,0.043559510096711475,0.06284768285116986,0.050136929018622,-0.020257266137790962,-0.104892962225318,862.0,850.0,872.0,870.0,9475.0,8.5727
403041074,Christies Beach,Moderate,Low,Area (km²),-0.1213441436426681,0.009876030611883628,0.017383870188533816,-0.019430483761915782,-0.03221043245397706,-0.036905916761442316,-0.1213441436426681,946.0,920.0,930.0,928.0,11050.0,7.2165
403041075,Clarendon,Low,Low,IRSAD (Adv/Disadv),-0.0730218688640324,-0.06228907714914298,-0.0730218688640324,-0.07192129305476253,-0.0550192056755508,0.005673390274787611,0.0072803119824488725,1086.0,1056.0,1098.0,1038.0,2729.0,123.3732
403041076,Coromandel Valley,Low,Low,IRSAD (Adv/Disadv),-0.06814081785023081,-0.06069992564018436,-0.06814081785023081,-0.06339897472504648,-0.05302832571006315,0.021715637940784842,-0.02574533650151225,1099.0,1077.0,1099.0,1087.0,4469.0,4.4154
403041077,Flagstaff Hill,Low,Low,IRSAD (Adv/Disadv),-0.07051903981434657,-0.059117924448245825,-0.07051903981434657,-0.06638624791998363,-0.05223777035019788,-0.006400663880568115,0.005363903927089812,1068.0,1043.0,1065.0,1039.0,10784.0,9.7527
403041078,Hackham - Onkaparinga Hills,Moderate,Low,IER (Econ Resources),-0.08598227255438899,-0.025331844370541656,-0.00757219126252606,-0.08598227255438899,-0.021925001444626755,-0.014732291395208765,-0.040420808125626914,965.0,922.0,990.0,898.0,6875.0,23.6436
403041079,Hackham West - Huntfield Heights,High,Low,Area (km²),-0.16738219830455342,0.02702877098186903,-0.011244323441079803,0.0008247906492451125,0.027926929021091982,-0.026451711392825445,-0.16738219830455342,850.0,831.0,888.0,847.0,7818.0,4.374
403041080,Happy Valley,Moderate,Low,IER (Econ Resources),-0.07004515259527593,-0.034479367746322064,-0.06957958201792541,-0.07004515259527593,-0.05691791759766196,-0.018890162949882768,0.0006144404208159806,1045.0,997.0,1031.0,985.0,13864.0,10.17
403041081,Happy Valley Reservoir,Moderate,Low,Area (km²),-0.04189578763336247,0.010393305863143054,-0.015513261869935156,0.009335129759149614,-0.01781104586448436,0.022860583925903632,-0.04189578763336247,990.0,959.0,983.0,954.5,9967.5,6.5089
