SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,estimated_annual_water_bill,water_stress_index,stress_pct_rank,stress_tier
403041073,Christie Downs,Onkaparinga,Adelaide - South,9475.0,8.5727,862.0,1.0,850.0,1.0,872.0,1.0,870.0,1.0,2248.04,2578.0275,0.8977,Critical
403041074,Christies Beach,Onkaparinga,Adelaide - South,11050.0,7.2165,946.0,2.0,920.0,2.0,930.0,2.0,928.0,3.0,2248.04,2417.2473,0.7784,Critical
403041075,Clarendon,Onkaparinga,Adelaide - South,2729.0,123.3732,1086.0,10.0,1056.0,8.0,1098.0,10.0,1038.0,7.0,2248.04,2047.3953,0.0227,Low
403041076,Coromandel Valley,Onkaparinga,Adelaide - South,4469.0,4.4154,1099.0,10.0,1077.0,9.0,1099.0,10.0,1087.0,9.0,2248.04,2045.5323,0.017,Low
403041077,Flagstaff Hill,Onkaparinga,Adelaide - South,10784.0,9.7527,1068.0,9.0,1043.0,7.0,1065.0,9.0,1039.0,7.0,2248.04,2110.8357,0.0767,Low
403041078,Hackham - Onkaparinga Hills,Onkaparinga,Adelaide - South,6875.0,23.6436,965.0,3.0,922.0,2.0,990.0,5.0,898.0,2.0,2248.04,2270.7475,0.4261,Moderate
403041079,Hackham West - Huntfield Heights,Onkaparinga,Adelaide - South,7818.0,4.374,850.0,1.0,831.0,1.0,888.0,1.0,847.0,1.0,2248.04,2531.5766,0.8693,Critical
403041080,Happy Valley,Onkaparinga,Adelaide - South,13864.0,10.17,1045.0,7.0,997.0,6.0,1031.0,7.0,985.0,5.0,2248.04,2180.4462,0.2102,Low
403041081,Happy Valley Reservoir,Onkaparinga,Adelaide - South,,6.5089,,,,,,,,,2248.04,,0.9744,Critical
403041082,Lonsdale,Onkaparinga,Adelaide - South,23.0,9.8401,,,,,,,882.0,1.0,2248.04,,0.9744,Critical
403041083,McLaren Vale,Onkaparinga,Adelaide - South,7344.0,119.5749,1047.0,7.0,1010.0,6.0,1048.0,8.0,992.0,6.0,2248.04,2145.0763,0.142,Low
403041084,Morphett Vale - East,Onkaparinga,Adelaide - South,13863.0,7.6836,950.0,3.0,908.0,2.0,953.0,3.0,892.0,2.0,2248.04,2358.9087,0.6818,High
403041085,Morphett Vale - West,Onkaparinga,Adelaide - South,10138.0,5.0775,912.0,2.0,876.0,1.0,923.0,2.0,875.0,1.0,2248.04,2435.5796,0.8097,Critical
403041086,Reynella,Onkaparinga,Adelaide - South,10286.0,7.7053,990.0,4.0,944.0,3.0,983.0,4.0,931.0,3.0,2248.04,2286.9176,0.4716,Moderate
403041088,Willunga,Onkaparinga,Adelaide - South,3604.0,85.1868,1056.0,8.0,1026.0,7.0,1065.0,9.0,1028.0,7.0,2248.04,2110.8357,0.0767,Low
403041089,Woodcroft,Onkaparinga,Adelaide - South,11552.0,13.5274,1033.0,7.0,985.0,5.0,1030.0,7.0,954.0,4.0,2248.04,2182.5631,0.2159,Low
403041177,Seaford - Seaford Meadows,Onkaparinga,Adelaide - South,14177.0,11.4713,991.0,4.0,951.0,4.0,987.0,5.0,942.0,4.0,2248.04,2277.6494,0.4517,Moderate
403041178,Seaford Rise - Moana,Onkaparinga,Adelaide - South,10629.0,12.1052,1002.0,5.0,962.0,4.0,1008.0,6.0,950.0,4.0,2248.04,2230.1984,0.3153,Moderate
404011090,Beverley,Charles Sturt,Adelaide - West,8897.0,4.2061,1006.0,5.0,987.0,5.0,970.0,4.0,995.0,6.0,2248.04,2317.567,0.5511,High
404011091,Flinders Park,Charles Sturt,Adelaide - West,16361.0,6.3972,1004.0,5.0,989.0,5.0,973.0,4.0,993.0,6.0,2248.04,2310.4214,0.5256,High
404011092,Henley Beach,Charles Sturt,Adelaide - West,15634.0,5.9563,1049.0,8.0,1043.0,7.0,1015.0,6.0,1043.0,7.0,2248.04,2214.8177,0.2699,Moderate
404011093,Hindmarsh - Brompton,Charles Sturt,Adelaide - West,19076.0,7.896,995.0,5.0,1004.0,6.0,936.0,2.0,1049.0,8.0,2248.04,2401.7521,0.7557,Critical
404011094,Royal Park - Hendon - Albert Park,Charles Sturt,Adelaide - West,6499.0,3.246,958.0,3.0,940.0,3.0,937.0,2.0,946.0,4.0,2248.04,2399.1889,0.75,Critical
404011095,Seaton - Grange,Charles Sturt,Adelaide - West,17501.0,8.2533,991.0,4.0,979.0,5.0,966.0,3.0,986.0,5.0,2248.04,2327.1636,0.5767,High
404011096,West Lakes,Charles Sturt,Adelaide - West,15205.0,8.5515,1027.0,6.0,1011.0,6.0,1003.0,6.0,1006.0,6.0,2248.04,2241.3161,0.3494,Moderate
404011097,Woodville - Cheltenham,Charles Sturt,Adelaide - West,19269.0,8.8122,956.0,3.0,955.0,4.0,942.0,2.0,976.0,5.0,2248.04,2386.4544,0.7386,High
404021098,Dry Creek - South,Port Adelaide - West,Adelaide - West,,6.1446,,,,,,,,,2248.04,,0.9744,Critical
404021099,Largs Bay - Semaphore,Port Adelaide - West,Adelaide - West,14807.0,6.7241,1009.0,5.0,993.0,5.0,974.0,4.0,1001.0,6.0,2248.04,2308.0493,0.5085,High
404021100,North Haven,Port Adelaide - West,Adelaide - West,14800.0,14.8433,969.0,3.0,942.0,3.0,957.0,3.0,934.0,3.0,2248.04,2349.0491,0.6648,High
404021101,Port Adelaide,Port Adelaide - West,Adelaide - West,11589.0,12.972,917.0,2.0,913.0,2.0,909.0,2.0,927.0,3.0,2248.04,2473.0913,0.8239,Critical
404021102,The Parks,Port Adelaide - West,Adelaide - West,19645.0,18.2633,876.0,1.0,902.0,2.0,892.0,1.0,942.0,4.0,2248.04,2520.2242,0.858,Critical
404021103,Torrens Island,Port Adelaide - West,Adelaide - West,,8.8253,,,,,,,,,2248.04,,0.9744,Critical
404031104,Adelaide Airport,West Torrens,Adelaide - West,,7.2952,,,,,,,,,2248.04,,0.9744,Critical
404031105,Fulham,West Torrens,Adelaide - West,2920.0,1.3212,1051.0,8.0,1039.0,7.0,1019.0,6.0,1034.0,7.0,2248.04,2206.1237,0.25,Moderate
404031106,Lockleys,West Torrens,Adelaide - West,13452.0,5.702,1026.0,6.0,1018.0,6.0,981.0,4.0,1023.0,7.0,2248.04,2291.58,0.4943,Moderate
404031107,Plympton,West Torrens,Adelaide - West,26480.0,10.6969,1015.0,6.0,1006.0,6.0,952.0,3.0,1027.0,7.0,2248.04,2361.3866,0.6932,High
404031108,Richmond (SA),West Torrens,Adelaide - West,17022.0,8.9253,995.0,5.0,999.0,6.0,935.0,2.0,1038.0,7.0,2248.04,2404.3209,0.7614,Critical
404031109,West Beach,West Torrens,Adelaide - West,5175.0,4.5068,1059.0,8.0,1050.0,8.0,1025.0,7.0,1042.0,7.0,2248.04,2193.2098,0.233,Low
405011110,Barossa - Angaston,Barossa,Barossa - Yorke - Mid North,6486.0,633.8622,1003.0,5.0,969.0,4.0,1026.0,7.0,957.0,4.0,2248.04,2191.0721,0.2244,Low
405011111,Light,Barossa,Barossa - Yorke - Mid North,9797.0,1111.6724,1005.0,5.0,959.0,4.0,1032.0,7.0,935.0,3.0,2248.04,2178.3333,0.2045,Low
